Project Name,Test Function,Smell Type
concord-consortium@CEASAR,EditModeTestScript<>EditModeTestScriptWithEnumeratorPasses,DefaultTest
MatthewSloyan@final-year-applied-project-and-minor-dissertation,TestSuite<>TestSuiteWithEnumeratorPasses,DefaultTest
mattrdowney@planetaria,PlanetariaMathTestScript<>PlanetariaMathTestScriptWithEnumeratorPasses,DefaultTest
mattrdowney@planetaria,MiscellaneousTestScript<>MiscellaneousTestScriptWithEnumeratorPasses,DefaultTest
mattrdowney@planetaria,CoordinateSystemsTestScripts<>CoordinateSystemsTestScriptsWithEnumeratorPasses,DefaultTest
addyi@SoftwareCity,OrchestratorTest<>OrchestratorTestWithEnumeratorPasses,DefaultTest
Unity-Technologies@InputSystem,EventConstraint<>TODO_UI_CanGetLastUsedDevice,DefaultTest
mattrdowney@planetaria,NewTestScript<>NewTestScriptWithEnumeratorPasses,DefaultTest
