Project Name,Test Function,Smell Type
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertFlight_Throws_If_Writes_Disabled,MysteryGuest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithTeleporterMovesPlayer,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraft_Works_For_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyAircraft_Updates_Existing_Lookups,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatatbase_GetAircraftByRegistration_Returns_Null_If_Passed_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetSessions_Returns_Empty_List_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteFlight_Correctly_Deletes_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetDatabaseVersion_Returns_Null_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertSystemEvents_Correctly_Inserts_Record,MysteryGuest
augcog@ISAACS_Interface,SQLiteCacheTest<>Prune,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSession_Correctly_Deletes_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateSession_Works_For_Different_Cultures,MysteryGuest
kookmin-sw@capstone-2020-17,OpenVRStandaloneTests<>CheckPluginsImported,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_RecordManyMissingAircraft_Updates_Existing_Empty_Records,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertAircraftLookup_Inserts_New_Lookups,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSession_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Looks_Up_ModeSCountry,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightById_Returns_Null_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertSession_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_Connection_Does_Not_Try_To_Use_Zero_Length_Files,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Correctly_Inserts_Record,MysteryGuest
augcog@ISAACS_Interface,FileSourceTest<>AccessTokenSet,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileExists_Does_Not_Test_Null_FileName,MysteryGuest
vimeo@vimeo-unity-sdk,VimeoUploaderTest<>TotalChunksRemaining_Does_Not_Break_Before_Chunks_Are_Created,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlights_Counts_Range_Criteria,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Ignores_Case_On_Sort_Column_Names,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetLocations_Returns_Empty_List_If_File_Does_Not_Exist,MysteryGuest
