Project Name,Test Function,Smell Type
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraft_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertLocation_Works_For_Different_Cultures,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>Radiuses,MysteryGuest
augcog@ISAACS_Interface,SQLiteCacheTest<>Clear,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Can_Filter_Flights_By_StartsWith_Criteria,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>Annotation,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertLocation_Throws_If_Writes_Disabled,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>Radiuses,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteFlight_Throws_If_Writes_Disabled,MysteryGuest
willychang21@MapboxARGame,SQLiteCacheTest<>ConcurrentTilesetInsert,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraft_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_RecordMissingAircraft_Creates_Almost_Empty_Aircraft_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftByCode_Returns_Null_If_Aircraft_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Deals_With_Unknown_Country,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>NoSegment,MysteryGuest
dioram@Elektronik,ParsingTests<>PoseStamped,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Google_Map_Default_Centre_As_Default_Location,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertSession_Inserts_Record_Correctly,MysteryGuest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithPowerupIncreasesSpeed,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraftModeSCountry_Updates_ModeSCountry_For_Existing_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Returns_Empty_Collection_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyFlights_Updates_Existing_Flights,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>InvalidCoordinate,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateFlight_Works_For_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateSession_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Can_Return_More_Than_One_Aircraft,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_RecordMissingAircraft_Updates_Existing_Empty_Records,MysteryGuest
SMBenedict173@General-Anesthesia-Simulator,NestedCanvas<>WorldCanvas_CanFindCameraAfterDisablingAndEnablingRootCanvas,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertSystemEvents_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>BaseStationDatabase_GetManyAircraftByCode_Returns_Empty_Collection_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileNameChanged_Raised_After_FileName_Changes,MysteryGuest
vimeo@vimeo-unity-sdk,VimeoUploaderTest<>Upload_Sets_Upload_States,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertAircraftLookup_Can_Ignore_Existing_Aircraft_When_Required,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertAircraft_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>AsSimpleAsPossible,MysteryGuest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithGhostWhenGhostIsEdibleMakesGhostRunHome,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateLocation_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftByCode_Can_Return_More_Than_One_Aircraft,MysteryGuest
willychang21@MapboxARGame,SQLiteCacheTest<>Prune,MysteryGuest
willychang21@MapboxARGame,CompressionTest<>Corrupt,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Correct_Info_Record,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>Annotation,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyAircraft_Raises_AircraftUpdated_On_Update_Aircraft,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSystemEvents_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
augcog@ISAACS_Interface,CompressionTest<>Corrupt,MysteryGuest
iamtomhewitt@vr-pacman,PacmanMovementTests<>PacmansPositionResets,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyAircraft_Does_Not_Raise_AircraftUpdated_On_Insert,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Can_Filter_Flights_By_EndsWith_Criteria,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Correct_History_Record_In_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyFlights_Throws_If_Writes_Disabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileNameChanging_Raised_Before_FileName_Changes,MysteryGuest
dioram@Elektronik,ParsingTests<>VisualisationArraySimple,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Copies_Database_Record_To_Flight_Object,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatatbase_GetAircraftByCode_Returns_Null_If_Passed_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertFlight_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
dioram@Elektronik-Tools-2.0,ParsingTests<>PoseStamped,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileExists_Returns_True_If_The_FileName_Exists,MysteryGuest
iamtomhewitt@vr-pacman,PacmanMovementTests<>PacmanStops,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Returns_Empty_List_If_Aircraft_Is_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatatbase_GetManyAircraftAndFlightsCountByCode_Returns_Empty_Collection_If_Passed_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftById_Returns_Null_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Creates_Aircraft_Trigger_To_Delete_Flights,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>Tidy,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetSystemEvents_Retrieves_All_Records_In_SystemEvents_Table,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_TestConnection_Returns_True_If_File_Could_Be_Opened,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Some_Criteria_Is_Case_Sensitive,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetSessions_Retrieves_All_Records_In_Sessions_Table,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Some_Criteria_Is_Case_Sensitive,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Deals_With_Null_Country,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>LanguageGerman,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_String_Properties_Can_Match_Null_Or_Empty_Fields,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>InvalidCoordinate,MysteryGuest
vimeo@vimeo-unity-sdk,VimeoUploaderTest<>Hides_From_Inspector,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertFlight_Truncates_Milliseconds_From_Date,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>Tidy,MysteryGuest
dioram@Elektronik,ParsingTests<>PointCloud2,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatatbase_GetManyAircraftByCode_Returns_Empty_Collection_If_Passed_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetDatabaseHistory_Retrieves_All_Records_In_DBHistory_Table,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertAircraft_Truncates_Milliseconds_From_Date,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_Transactions_Cannot_Be_Nested,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Correct_History_Record_If_Missing,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Can_Filter_Flights_By_Contains_Criteria,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftByCode_Transparently_Handles_Call_Splitting_When_Number_Of_Icaos_Exceeds_MaxParameters,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlightsForAircraft_Counts_Equality_Criteria,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateSystemEvents_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Can_Return_List_Of_All_Flights,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_TestConnection_Leaves_Connection_Open,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Creates_SystemEvents_Table,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteFlight_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
iamtomhewitt@vr-pacman,PacmanMovementTests<>PacmanSpeedIsBoostedWhenHittingAPowerup,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Does_Nothing_If_File_Not_Empty,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateFlight_Correctly_Updates_Record,MysteryGuest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithGhostWhenGhostIsEdibleIncreasesScore,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlights_Throws_If_Criteria_Is_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileName_Set_Does_Not_Close_Connection_If_Value_Unchanged,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftByCode_Returns_Empty_Collection_If_Aircraft_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyAircraft_LookupVersion_Throws_Exception_If_Writes_Not_Enabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Creates_Flights_Table,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertAircraft_Correctly_Inserts_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlightsForAircraft_Returns_Count_Of_Flights_Matching_Criteria,MysteryGuest
augcog@ISAACS_Interface,SQLiteCacheTest<>InsertSameTileForceOverwrite,MysteryGuest
augcog@ISAACS_Interface,SQLiteCacheTest<>ReInit,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>LanguageEnglish,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteAircraft_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateLocation_Correctly_Updates_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabaseTests_Dispose_Prevents_Reopening_Of_Connection,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlightsForAircraft_Counts_Range_Criteria,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Creates_Aircraft_Table,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Creates_Session_Trigger_To_Delete_Flights,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Truncates_Milliseconds_From_Date,MysteryGuest
augcog@ISAACS_Interface,SQLiteCacheTest<>ConcurrentTilesetInsert,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Restricts_Search_To_Single_Aircraft,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>AlternativesWithSteps,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteAircraft_Throws_If_Writes_Disabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraft_Truncates_Milliseconds_From_Date,MysteryGuest
kookmin-sw@capstone-2020-17,OculusStandaloneTests<>CheckPluginsImported,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetLocations_Returns_Empty_List_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Ignores_Case_On_Sort_Column_Names,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetSystemEvents_Returns_Empty_List_If_File_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlightsForAircraft_Returns_Zero_If_Aircraft_Is_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyAircraft_Raises_AircraftUpdated_On_Update_Lookup,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>OverviewFull,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Sorts_By_One_Column_Correctly,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightById_Returns_Null_If_Flight_Does_Not_Exist,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Throws_If_Criteria_Is_Null,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertAircraftLookup_Will_Overwrite_Missing_Aircraft_When_Required,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Can_Filter_Flights_By_Range_Criteria,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSystemEvents_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Correct_History_Record_If_File_Empty,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Creates_Path_To_Database_File,MysteryGuest
vimeo@vimeo-unity-sdk,VimeoUploaderTest<>CreateChunks_Properly_Sets_Up_Chunk,MysteryGuest
willychang21@MapboxARGame,SQLiteCacheTest<>InsertSameTileNoOverwrite,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Does_Not_Create_New_Aircraft_Objects,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSystemEvents_Correctly_Deletes_Record,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Does_Nothing_If_FileName_Is_Empty,MysteryGuest
willychang21@MapboxARGame,SQLiteCacheTest<>VerifyTilesFromConcurrentInsert,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateFlight_Throws_If_Writes_Disabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightById_Returns_Null_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftById_Returns_Null_If_Aircraft_Does_Not_Exist,MysteryGuest
dioram@Elektronik-Tools-2.0,ParsingTests<>VisualisationArraySimple,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>AllParameters,MysteryGuest
SMBenedict173@General-Anesthesia-Simulator,AspectRatioFitterTests<>TestEnvelopParent,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSystemEvents_Throws_If_Writes_Disabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Returns_Counts_Of_Flights,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>CoordinatesNull,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_MaxParameters_Returns_Correct_Value_When_Connected,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_RecordManyMissingAircraft_Only_Updates_LastModified_Time_On_Existing_Records_With_Registrations,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateSession_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftById_Returns_Aircraft_Object_For_Record_Identifier,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertAircraft_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileExists_Does_Not_Test_Empty_FileName,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateLocation_Throws_If_Writes_Disabled,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>OverviewSimplified,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>AsSimpleAsPossible,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>Profiles,MysteryGuest
